"allgenes.Sample" "allgenes.Score" "allgenes.Class" "perturbedgenes.Sample" "perturbedgenes.Score" "perturbedgenes.Class"
"SRR5680350" 2.71792182358853 "conv" "SRR5680350" 4.12182041978236 "conv"
"SRR5680351" 2.70670861254465 "conv" "SRR5680351" 4.10915109825675 "conv"
"SRR5680354" 2.68316658937126 "conv" "SRR5680354" 4.63872230498087 "conv"
"SRR5680355" 2.67207533013361 "conv" "SRR5680355" 4.54588382765286 "conv"
"SRR5680356" 2.53022513895155 "acute" "SRR5680356" 3.5857224827026 "acute"
"SRR5680357" 2.52260748605256 "acute" "SRR5680357" 3.59277104753895 "acute"
"SRR5680358" 2.44464630199949 "conv" "SRR5680358" 3.97025464928464 "conv"
"SRR5680359" 2.45768027143015 "conv" "SRR5680359" 3.97928417015008 "conv"
"SRR5680364" 2.49719828389973 "acute" "SRR5680364" 3.52124697931811 "acute"
"SRR5680365" 2.42986752535348 "acute" "SRR5680365" 3.38137099590128 "acute"
"SRR5680366" 2.9849469252245 "conv" "SRR5680366" 4.42759217915018 "conv"
"SRR5680368" 2.40760781874492 "acute" "SRR5680368" 3.6149856179026 "acute"
"SRR5680369" 2.37386692721144 "acute" "SRR5680369" 3.59822150333547 "acute"
"SRR5680370" 2.96805417434282 "conv" "SRR5680370" 5.36068310444013 "conv"
"SRR5680371" 2.85504403319959 "conv" "SRR5680371" 5.05372938342557 "conv"
"SRR5680372" 2.56848411344831 "acute" "SRR5680372" 4.0140125389495 "acute"
"SRR5680373" 2.52646963249077 "acute" "SRR5680373" 3.98233502965983 "acute"
"SRR5680376" 2.57012355948683 "acute" "SRR5680376" 3.74165656268346 "acute"
"SRR5680377" 2.48621713230231 "acute" "SRR5680377" 3.59615710513788 "acute"
"SRR5680378" 3.23615132320744 "conv" "SRR5680378" 5.64915805997898 "conv"
"SRR5680379" 3.1412340031169 "conv" "SRR5680379" 5.36118998944646 "conv"
"SRR5680380" 2.25966150909598 "acute" "SRR5680380" 3.28374433522253 "acute"
"SRR5680381" 2.25255130951394 "acute" "SRR5680381" 3.2561253731213 "acute"
"SRR5680382" 2.43208089543033 "conv" "SRR5680382" 4.0439640705989 "conv"
"SRR5680383" 2.4300237761531 "conv" "SRR5680383" 4.00659842564733 "conv"
"SRR5680384" 2.24081344090653 "acute" "SRR5680384" 3.18958298547107 "acute"
"SRR5680385" 2.21436912297948 "acute" "SRR5680385" 3.13809578609745 "acute"
"SRR5680386" 2.94273550576672 "conv" "SRR5680386" 4.96307559473278 "conv"
"SRR5680387" 2.85716670397449 "conv" "SRR5680387" 4.64102073047628 "conv"
"SRR5680388" 2.45116756160037 "acute" "SRR5680388" 3.77598381029586 "acute"
"SRR5680389" 2.41651752184908 "acute" "SRR5680389" 3.71734122131831 "acute"
"SRR5680390" 2.8706988353904 "conv" "SRR5680390" 4.705775749778 "conv"
"SRR5680391" 2.87470269032523 "conv" "SRR5680391" 4.69768047062282 "conv"
"SRR5680396" 2.58112334417688 "acute" "SRR5680396" 4.55929175561571 "acute"
"SRR5680397" 2.49213634878836 "acute" "SRR5680397" 4.32177739727745 "acute"
"SRR5680398" 2.87134765909421 "conv" "SRR5680398" 4.50795400492841 "conv"
"SRR5680399" 2.8629271924276 "conv" "SRR5680399" 4.48552700355193 "conv"
"SRR5680408" 2.31708736630179 "acute" "SRR5680408" 3.64833658122939 "acute"
"SRR5680409" 2.2693664851195 "acute" "SRR5680409" 3.63618268771964 "acute"
"SRR5680410" 2.51060599121403 "conv" "SRR5680410" 4.64820223098619 "conv"
"SRR5680411" 2.48703182485909 "conv" "SRR5680411" 4.5599846711458 "conv"
"SRR5680412" 2.37001770082394 "acute" "SRR5680412" 3.77924300620348 "acute"
"SRR5680413" 2.36669534680698 "acute" "SRR5680413" 3.8046130267439 "acute"
"SRR5680414" 2.78069670342679 "conv" "SRR5680414" 5.36321263902339 "conv"
"SRR5680415" 2.74918295877285 "conv" "SRR5680415" 5.29025200784608 "conv"
"SRR5680418" 2.84482008835935 "conv" "SRR5680418" 4.4507911756131 "conv"
"SRR5680419" 2.82932908646242 "conv" "SRR5680419" 4.35513726203131 "conv"
"SRR6808633" 34.2621061864239 "inf_ln2" "SRR6808633" 129.084701544283 "inf_ln2"
"SRR6808635" 33.9901883615251 "inf_ln2" "SRR6808635" 128.198552915216 "inf_ln2"
"SRR6808636" 35.4686981573072 "inf_ln2" "SRR6808636" 134.013763399065 "inf_ln2"
"SRR6808641" 37.5659894128095 "inf_ln7" "SRR6808641" 141.601078936614 "inf_ln7"
"SRR6808642" 36.9948440959336 "inf_ln7" "SRR6808642" 139.33841611813 "inf_ln7"
"SRR6808643" 36.1306133120256 "inf_ln7" "SRR6808643" 135.915964646626 "inf_ln7"
"SRR6808644" 43.2499085256408 "ctrl_ln2" "SRR6808644" 164.060942870602 "ctrl_ln2"
"SRR6808645" 43.0842006527071 "ctrl_ln2" "SRR6808645" 163.526394095909 "ctrl_ln2"
"SRR6808646" 43.2631617437755 "ctrl_ln2" "SRR6808646" 164.089409750011 "ctrl_ln2"
"SRR6808648" 111.898122660322 "ctrl_f2" "SRR6808648" 438.221526848109 "ctrl_f2"
"SRR6808649" 109.372309405967 "ctrl_f2" "SRR6808649" 428.019530347796 "ctrl_f2"
"SRR6808650" 107.049923776758 "ctrl_f2" "SRR6808650" 418.549721474643 "ctrl_f2"
"SRR6808651" 80.9787356081253 "inf_f7" "SRR6808651" 315.445835141252 "inf_f7"
"SRR6808652" 79.88929331956 "inf_f7" "SRR6808652" 311.05965953596 "inf_f7"
"SRR6808653" 85.3358848642823 "inf_f7" "SRR6808653" 332.684905668063 "inf_f7"
"SRR6808654" 104.701445940395 "inf_f2" "SRR6808654" 410.003631739012 "inf_f2"
"SRR6808655" 103.914125993447 "inf_f2" "SRR6808655" 407.112586413556 "inf_f2"
"SRR6808656" 106.169990014893 "inf_f2" "SRR6808656" 416.024423579564 "inf_f2"
